赚,半数嫌贵
螺,连日奔波在闽中
螺,四方环镇闽中央
践,步履艰难
践,足踩实地走一回
践,言出必行
践,脚踩实地
顿,频得逸步到古村
顿,屯田改革一书生
顿,屯田改革一纸封
顿,屯田改造一书生
网,若是出错，倒放了真凶。
网,沿墙插竹斜编篱
网,再度辞君倍错误
网,再度看错三围
网,两人一走，接连出错。
网,不与内人争对错
网,差错出在不用心
网,别有用心过错多
网,没有用心连出错
植,君子正也
糍,米饭出锅时间长
糍,兹将余粮尽奉献
糍,江米做成糕
糍,用江米做成糕
糍,兹将余粮尽奉公
糍,兹将余粮尽奉承
糍,用江米做成糕点
糍,江米做成糕点
糍,兹将余粮尽付梓
糍,江米做成的饭
鉏,且散金钱
氕,和风细雨斜
氕,一丝飘忽伴轻烟
氕,一枝柳条风中舞
蚤,金钗失色烛无光
蚤,敲断金钗红烛冷
蚤,下午读《离骚》
蚤,又见萤火伴孤星
蚤,底线传中落点，头顶又进一球
踧,叔叔一只脚
踧,叔叔一走就上路
襱,衣着引得一尊龙
笱,竹下隐语句亦残
笱,竹下隐语句亦空
笱,个个向前一个弯
笱,竹下隐语入空门
笱,个个入句
诠,表露无遗
诠,条条妙计安天下
篁,个个称王
篁,个个都是皇上
篁,个个称王称帝
篁,个个都是皇后
篁,个个称王称王
篁,个个称王叫王
察,观音桥上祭灵前
察,观音桥上祭松坡
锋,钱不沾边
锋,秋色融融客心牵
聋,老子其犹龙乎
聋,主宰天下称老子
噬,竹叶隐处叶尖藏
噬,人人做工，个个对口。
噬,人人有工作，个个能糊口
噬,竹丛深处藏叶尖
噬,幽篁独映清江水，紫燕双飞杏间春
笐,竹影横斜雨几时
笐,竹竿几点缀清篁
笐,竹竿几点拂风去
笐,竹影横斜月几多
笐,竹竿几点拂风来
铐,秋后测验
铐,秋后金考
铐,秋后考试
铐,秋后统考
铐,金考
閧,共守空門
閧,拱手相别入空门
閧,拱手門前共舉樽
閧,共进二球门
閧,共聚一室
閧,共守空门
閧,共建家庭
閧,拱手让人家
閧,共同的门
秱,千里同心来合作
秱,千里同心来相会
秱,千里同心来日聚
秱,千里同心来日月
锁,为钱负心是小人
枰,斗转星移又一春
枰,曲逆侯加封右相
婉,妾低窗前心带怨
薨,一夜花残廿四桥
薨,残花无端入旧梦
薨,一枕落花旧梦中
蚜,雕虫伤雅无后继
蚜,龋齿
客,古宅半隐入雾中
客,来到塞北迷前路
邠,一别陇西分南北
膯,孤星伴月上重楼
电,落日在帘钩
电,大小淹没田开沟
电,由下面转弯
电,横竿垂钓小方塘
电,庙后旗杆乃猴精尾巴所变
电,大水淹没音像店
电,俺大人不在
电,一鞭残照里
电,上海中转
电,俺家大人不在家
电,一入后宫礼先行
电,横杆垂钓小方塘
电,出口丝绳
电,卷尾猴
电,由此朝南直走，右拐，就是音响店
电,猴子甩尾巴
电,大水淹没卷尾猴
舄,臼中微雨滴残花
舄,臼中点点萤火虫
舄,臼中点点鸟飞鸣
舄,臼中微雨滴滴金
舄,臼中点点萤火照
坼,是非已清，无须上诉
坼,拆了围墙
氤,人争一口气
氤,口气不小
氤,烟火升空变雾霭
飚,风中焱
飚,风焱
饸,人人同吃
珲,九门兵马卫皇都
珲,一江水滞浑不流
辑,奔驰闻问俱无门
辑,古稀之年闻炮声
辑,古稀子美闻福音
辑,左轮护耳
涣,焕然长空映三星
涣,背水横下一条心
林,摆脱困境又一春
林,精简机构
林,一对枕头
林,植树节后
林,人虽离休青春在
林,夭桃抢钕嗉娌，萱草宜男早已删
林,不在梅边在柳边
林,人人宽心
林,一杯一杯不落空
林,不到黄昏梦未成
林,此木本来一花无
林,巧对
林,杯杯不空不罢休
林,交柯之木本同形，东枝憔悴西枝荣
林,困苦之中有人帮
林,三十六计
林,左边不出头，右边不出头，不是不出头，就是不出头。
林,最初的梦想
林,左不出头，右不出头
林,入夜梦见黛玉来
林,二十二人
林,北宋虽亡南宋在
林,左十八，右十八，国家建设需要它
林,检查之前来相会
林,日出杲杲，日落杳杳
林,木偶
林,折干沉沙
林,又是不出头
褶,披衣习古文
褶,羽落服中
褶,羽落服装
吏,一去成千古
吏,今古一相接
吏,使人离缺
吏,一往见古今
吏,史书上要载一笔
吏,独往观青简
吏,使人难留
吏,出头更虚心
乩,战乱前后饥声起
乩,开战之后后方乱
乩,战罢刀枪一笔勾
乩,店铺无屋墙，乱作半荒唐
藓,未见美人先含羞
藓,严光垂钓，苏武放牧，不失高节
洌,滩头烈焰腾空起
惴,高山而立心不安
惴,高山而卧心不安
惴,依山而傍心
友,一树村落有月光
友,有头没尾
友,大权旁落
友,朋友半边不见啦
友,无情以后难相逢
友,先存后取
友,一撇又一横，关系好得很。
矘,眼前一黑一片白
矘,眼前唯有一点黑
矘,眼前一黑头发晕
矘,眼前一黑映党心
茫,随意外流盲目行
茫,廿载含泪西北望
蜷,烛冷人未倦
炀,显山露水看汤灿
炀,荡中水草尽遭焚
帐,市长去北京
嵋,峨眉天下无人识
嵋,峨眉天下独闻名
嵋,峨眉天下闻
嵋,峨眉天下绝无人
嵋,峨眉山
嵋,峨眉天下绝无双
嵋,峨眉天下秀
嵋,峨眉天下绝
髆,寸土相连不见人
髆,十分用心骨折
祰,报告
祰,出口方言
祰,祷告
耶,聂
耶,左右听官不一般
耶,父亲前来见老爷
耶,两边都能听到
耶,重耳
耶,陶后鲜有闻
耶,郭先生又夺最高分
榉,举杯不落空
榉,举杯相庆
榉,举杯相庆庆丰年
榉,举杯相庆庆丰收
榉,举杯相庆庆团圆
榉,举杯庆贺春来早
榉,举杯庆贺
榉,举杯相庆迎春到
欢,欲去西边又见喜
欢,对歌前后心舒畅
欢,一借再借
欢,又见炊烟升起
欢,债上加债
欢,添新债
欢,未还旧债添新债
欢,第二次借钱
欢,一方赞叹，一方叫吹
欢,断桥又遇白头人
録,录后金录
録,录金录水
録,录金录
録,雨中金榜题名
録,金山记
録,录金录银
柽,榕城别后又相逢
蜮,戈壁滩上一条虫
蜮,戈壁上一只虫
蜮,戈壁上一只小虫
蜮,扬帆破浪入长城
蜮,戈壁上一条虫
蜮,戈壁上一只虎
蜮,戈壁上一只老虎
蜮,戈壁滩上一只虫
渣,每天洗一澡
渣,周公三握发
渣,十八滩头旧貌改
渣,春水一篙残照阔
渣,西湖断桥一旦相会
渣,落日楼头，断鸿声里
渣,晨浴
渣,西湖春日天上来
渣,西湖断桥一线天
渣,太阳一出化春水
充,岳武穆之孙
充,新月一钩乱云下
充,子曰
寺,过节走动去前庄
寺,至尊无上
寺,有言必归风雅颂
寺,旧时无日不言诗
寺,日落时分是非多
寺,正是天边日落时
寺,而今不见旧时日
寺,一尺一
寺,旧时离别日，把手欲语迟
寺,认得诗人在此间
寺,一人照顾，二人等
寺,旧时往日敲经处
寺,一人照顾二人等
寺,分清是非，十分必要
輨,官兵座驾
螖,孤帆一片骨头悬
聂,耶
聂,聚散之后又相逢
聂,辞职之后又重来
聂,又逢老子上
聂,免职之后又重用
聂,双联开关
聂,辞职后又相逢
曾,来人乃是一和尚
曾,僧人出游
曾,两眉竖，两眼瞪，双唇紧闭心可憎
曾,关前相逢春江水，春江水流日纵横
曾,小日本还在，总放心不下
芤,脉象无力一念空
芤,孔子游下蔡
耦,番禺开垦
征,二人正好远行
征,人人立正
征,正好二人
征,政通人又和
准,重点难题又突破
准,故旧心如一片冰
准,有点成河
准,重点放在上集
舋,小桥上下一般平
舋,同窗三载同窗聚
舋,同窗三载同欢聚
礇,大米向外出口
礇,大米厂出口
礇,厂方出口大米
呋,月宫之中人独处
呋,直上中天品自高
粜,岁岁除夕有余粮
粜,杖头双星映重峦
臂,月照辟谷中
臂,辟谷清辉映幽冥
臂,月照辟谷人独立
州,二川溶溶
州,三更斗柄横
州,宾客一来会应酬
州,蜀水横流
州,熙熙攘攘
州,一流水平
鮊,鱼肚白
猛,孟子怒吼
猛,孟子头上有只狗
猛,孟子头上有条狗
猛,孟德放牧独守边
猛,孟子头上挂只狗
男,丈夫勤耕作
男,四方团结添后劲
男,上边留一半，下边加一半
男,四方联合，增加出口
男,四方共合力
男,摘掉穷帽栽富根
男,果断有力
男,奋力合作夺冠
男,雷雨落下云飞动
男,奋力合作大扫除
男,四方合力定称雄
男,动画剪接
男,日复一日全力支持
男,奋力重组大裁减
白,百度一下就明了
白,笔上难写心中情
白,古道照颜色
白,百里挑一，堪称出色
白,百里挑一
白,伯父隔壁没人住
白,同心改革向前进
白,以一奉百
白,一百减一
白,一了百了
白,君不君
白,九十九
白,原有小厂已倒闲
白,一百减一不等于九十九
白,石变色
白,日高犹自不明眸
白,始皇中原纵声色
白,落日西风秋色浓
白,南面有水清又清，西面有水船不行。
白,伏皇后
白,枯泉
白,开源节流，小厂腾飞
白,宿舍之前无一人
白,百无一失
白,藏木香
昉,春芳半已凋
久,用劲向前不争功
久,一经落红杳无香
久,小人要超过大人
久,看似小人超大人
久,浆声流韵传千古
吠,一只狗张口叫不休
吠,大口多一点
吠,品格端庄自成器
吠,人口多一点
吠,高吊南天北斗斜
硇,囟门在石头上
硇,囟门在石头
硇,囟门在石头中
鹩,大鸟归来伴小鸟
鲳,山东话改革
豺,才全貌不全
豺,狼来了，狗来了
骊,桃花争艳
骊,多美的桃花
骊,桃花一带，点缀重门
骊,千里共婵娟
橡,村前一头大象
藷,诸葛如来也
藷,诸葛著述
蚢,几点帆影隐风中
舟,丹心一点到白头
舟,东方航空
舟,分别投入搬东西
舟,云淡风清起月边
舟,一点丹心争向上
舟,是船不叫船，只因缺半边。
愈,输掉一辆车
帆,人间垂半帘
帆,雨后繁星少，风中斜枝多
鬼,沟中泉水清见底
鬼,说说就成魂魄，到底不是个人
鬼,一块入土乃故知
鬼,马嵬山下马不前
脶,左肺内上方有罗音
分,舴艋舟载离人走
分,小舟双桨两边开
分,左右乱看
分,轻舟荡双桨
分,众里寻他千百度
分,着手装扮
滓,宰相牵牛到江边
滓,宰相携妻到江西
滓,宰相携妻到江边
滓,宰相携妻洗尘埃
泠,一半儿温和平地儿冷
瞅,秋收之后眼前放
瞅,秋收之前眼底收
瞅,秋收之后眼底收
瞅,秋凉一片眼前来
瞅,秋凉秋到眼底收
瞅,秋收之后眼前亮
瞅,秋收之后眼前红
穜,千里归来日方立
脸,一人赏月兴头足
脸,胃上部破损，须马上化验
脸,一人举首望蟾宫
脸,签下合约三十天
耧,东楼半掩红楼梦
森,栓
森,杖头木偶
森,三春不是离别时
森,枕前续残梦
森,众卉织出三春景
森,春向梅边柳上添
森,枫林风光
森,木偶奇遇
森,一两木耳
森,黛玉喜迎春
森,二九青春
森,三个十八盘
森,春来尽挂树梢头
森,村前寨后杏方开
森,树林又蔽一寸光
森,秋波相送柳梢头
森,杨柳枝头
森,桃李争春
弼,左右开弓中百分
弼,左右开弓，百发百中
靹,人事改革
靹,改革内容
邫,丰邑
女,一点爱心安可抛
女,好婆媳好姑嫂处处有
女,王勃字字尽千金
女,此案无头又无尾
女,心口相应即宽容
女,处处都有好姑娘
女,佞人应与仁人别
女,疏梅错落如画里，一代红颜著粉妆
女,如出一口
女,好的开端
女,在那遥远的地方
女,婆媳姑嫂都有
女,少见为妙
女,人说多子为好，我说少生为妙
女,三八结良缘
肤,直上重霄揽月归
肤,月傍九霄多
肤,清光犹为君
肤,断肠人在天涯
肤,月隐人去两不知
肤,一月大
肤,月落人去两不知
逡,巧改公文送出关
逡,舟泊雾中，远山如眉
逡,空中山影客中舟
济,中山冒雨川中去
济,白石泉
济,溯江而上鲚鱼游
漶,江畔轻舟荡双桨
踀,足下无多
郃,一人一口一个队
诜,头头是道
诜,勿谓言之不预也
蕺,昔日一别后，耳畔响戈声
蕺,十方耳戈
蕺,十方耳戈戈壁
孟,盛极一时
孟,闪电连连绊下雷
蟳,十分景象闽中寻
鲑,山东有雨，河南有鱼
鲑,山东佳景一日游
鲑,山东佳景傍佳人
婧,留得春色伴佳人
婧,倩女幽会倩夫来
婧,倩女幽会倩夫人
婧,三月妹妹相会
婧,倩女幽会倩女来
贽,掌管货币
擤,用手揉捏鼻子
擤,用手抠鼻子
擤,用手抠门鼻子
擤,用手揉搓鼻子
擤,用手抚摸鼻尖
擤,用手捂住鼻子
擤,用手抚摸鼻头
擤,用手抚摸鼻子
沂,浙东浙西今合一
沂,欲诉无言泪痕在
沂,欲诉无言听泉声
沂,欲诉无言听水流
沂,一斤水产品
沂,欲诉无言泪先流
沂,十两一斤水
沂,一斤水
徭,破除谣言人人安
比,残花片片
比,逐鹿中原广驰骋
比,一月二日到昆明
比,倾心相对皆无言
比,短兵相接
标,植树还须禁毁林
标,一旦抽查，保留票根
标,先礼后兵是正理
敝,破衣
敝,衣裳破了
叼,刀口锋芒收不露
叼,能言善辩口如刀
叼,似曾相识燕衔泥
叼,一口衔枚
叼,嘴上留着樱桃
叼,嘴刁眼刁
叼,嘴上衔刀
叼,嘴上衔枚
僻,居间位置要调整
僻,离位迁居到荒郊
僻,迁居位置地段偏
搪,三辑古书扩编成
搪,一手唐诗
搪,举手唐突
搪,抬头陌上望长安
榛,多少游春意
榛,西楼日日遇春香
榛,初春梦失砧声起
榛,村前春雨插秧忙
榛,春日出游入林中，依稀风筝挂枝头
奎,万取千焉千取百焉不为不多矣
奎,两地统一人团聚
奎,纵横天下终为君
奎,一封雁书连两地
奎,是是非非因口出
奎,双增双节受益大
奎,春闺风雨锁重门
奎,人心求一统，两地岂能分
奎,万取千焉，千取百焉，不为不多矣
奎,夫不见，奉先为佳人动容
奎,大褂不要补
奎,人心求统一，两地岂容分
奎,人心求一统，两地岂容分
奎,再生是非因失口
猬,月照四方獐鹿奔
疟,因病倒卧帐前
疟,病来如山倒
韶,霍霍之声
韶,集合号
韶,汉武以弗陵为太子
釭,一江流水皆秋色
釭,金工
楂,前村后寨旧貌改
楂,东方曙色上枝头
楂,林木参差透曙光
楂,树树参差晓色中
楂,核泄露后，日本变样
楂,一日入林
楂,十八盘
楂,九九八十一天
楂,眼前变成一片林
楂,日近西头树参差
楂,松林错落一线天
楂,但使人归去，床前空遗影
楂,参差树木映朝阳
楂,一夜无梦到天明
楂,要改旧貌需造林
楂,林外晨光动
颟,先写一张纸
狎,张颠由来半疏狂
狎,押解猴头偏失手
麒,麋鹿奔走其中
麒,麋鹿奔走其间
泥,湖畔花残月也残，惹得道姑带泪看
泥,屋前花瓣带雨痕
泥,斜月残花付水流
泥,残花带雨层云散
泥,东北偏北有云层
泥,湖边残月照落花
荷,旁人不得苛求
荷,花下约可人，为何还含羞
荷,不失人格留高节，宁丢头顶此乌纱
荷,昔日一别何处逢
荷,王孙何处宿
荷,何处觅芳踪
荷,飞花落尽余芳草，欲倚阑干少一人
荷,昔日一别萧丞相
荷,可惜雄心花不老
荷,为人正直可靠
荷,男女含羞低头见
荷,不失人格亮高节，宁丢顶上此乌纱
荷,草下可藏人
葳,篱笆・女人・狗
葳,花前约会戈壁后
葳,军阀割据草原上
葳,花前约会戈壁上
門,日日有余，月月不足。
毁,江畔又见几分白
毁,不用心恐搜扑空
碎,醉后磕头
碎,翼王之死
识,离职之前进一言
识,只调休一周
识,只见其形，未见其详
识,只说不兑现
膗,月出崔山高
膗,月落崔山西
膗,月落崔山高
膗,月落崔山半遮云
屏,层云散尽锁眉开
屏,层云散尽并残月
屏,双星残月并一行
屏,山重月残云半隐
屏,山重月残云半遮
屏,层云散尽并不见
訡,纵横谈今昔
訡,纵横谈今古今
訡,如今谈判
毖,击水飞棹赛龙舟
毖,残花弄影水平流，新月隐约弄扁舟
肮,嫦娥几曾动芳心
胡,古时候的月亮
胡,人间二月
胡,鼓乐合奏游西湖
胡,搜尽枯肠意太真
胡,声声鼓乐起西东
胡,鼓乐之声播戎羌
胡,翻飞落叶空啼鹃
胡,叶展新姿清明前
院,元宵节后东陵行
院,塞上得阮生
院,先到陕西后皖东
库,座中空古稀
库,连衣裤
库,厂车一点到
库,七一直抵花城
亚,一倒下，影即现
亚,加上了嘴巴，反而说不出。
亚,山西省阴
亚,独家经营
亚,成就大业要靠人
亚,大业靠人创
亚,一去上边即就业，一去下边就转业。
亚,一去就业
亚,上下盘旋
亚,春雨游丝落马路
亚,居心不良
亚,靠人才开创大业
亚,试看上下翻复
亚,引进人才成大业
亚,有口亦难分诉
亚,若教有口便哑，且要无心作恶，中间若没肚肠，外面任生棱角
亚,多心就不好
亚,居心不善
亚,开创大业靠人才
亚,存心不善有口难言
亚,黑笔写出白十字
亚,创业始开头
亚,存心不善，有口难言
亚,存心不善
亚,先生隐退显高节
幌,孤帆一片日中来
幌,日落帘钩浑不知
幌,孤帆一片日边来
幌,孤帆一片日西沉
苞,一笔不苟
苞,悬念宋室一青天
苞,不学无术
某,日出高林光四射
某,千金谢酬报红娘
某,阳光四射上东方
鞄,改革包头
鞄,革新包
鞄,改革承包
鞄,制革包
鞄,改革包
飗,田间风留马蹄痕
飗,四方和风卯时节
飗,四方和风卯时来
飗,四方和风卯时到
飗,留得东北风细细
飗,留下一点是好风
飗,田上长青草，风里跑出来
估,湖光水月人共赏
估,人口增加
估,山掩层云有仙居
估,湖的东西有游人
估,推心置腹掏心窝
估,千古艰难唯一死
估,人在画堂深处
估,千古一绝
估,田间变化人变样
估,湖光水月人留恋
繀,丝林深处崔青色
嚎,一家两口散
嚎,吹一口毫毛变成猪八戒
蒐,十二阎罗
之,眨眼不见少一撇
之,看上去有点绕弯子，猜出来就请您吱声
之,分文
钴,翻飞乱叶告秋来
钴,洞庭秋水伴月光
钴,西湖水光复月光
芨,三人聚花前
芨,草长曲径掩人迹
芨,花前曲径及远山
芨,野径无人及蒿莱
芨,花前曲径及草底
芨,花前曲径及前程
芨,花前曲径及残红
贰,一一求贷总无人
詪,恨别人无话
喑,合唱
喑,方言
肰,明月当空照犬群
肰,月下一只狗
肰,明月当空犬独行
钎,大针上面顶小针
钎,荷锄西归阡边歇
艇,空中小舟朝廷前
艇,空中小舟朝朝廷
筚,竹花影纵横
訅,一言九行
訅,九九话
訅,九号发言
訅,一言九鼎
叙,自古一身终为权
叙,我字当头不足取
叙,自我当头不足取
叙,先予后取
叙,二度梅
叙,放权大改革
叙,半途而废不足取
缠,庄内庄外细参观
缠,厂里搞点，乡下变样
缠,丝织厂里献丹心
稣,怀念苏老
帙,帘下望夫白首归
帙,夺先进，帮后进，不落后，向前进
俐,休将眉月当小舟
俐,更加便利
绔,赞美乡下变了样
绔,经纬密兼边幅好
庠,依得床头半含羞
庠,厅前未进额先到
庠,病在皮肤，未入于内
材,才迎春归
材,人离休要荐才
材,才始送春归
材,正是需要人才
材,打破固有框框选人才
材,闭门空锁一片春
麉,麋鹿奔驰
饭,燕归来
饭,出而哇之
饭,归燕
饭,还有吃的
饭,燕人叛
缶,牧马去山中
缶,新月初挂两山边
缶,马占山
缶,立马昆仑
缶,匹马陷深山
缶,马踏岚岭峰
缶,马放南山
腄,仰望星月正低垂
焖,关掉火门心不安
焖,关掉火门心
焖,大火烧到心窝上
焖,大火烧到心窝里
释,一番用心安排，又连日奔走，方得以开脱
硁,厂方出工有劲头
畚,连日云脚遮天际
畚,残云遮天入画中
畚,参差柳丝掩窗棂
畚,四围山景皆入画，一行雁阵云上排
畚,南天去脚飘西方
畚,柳丝参差入画中
畚,群山环抱云天下
眆,眼前芳草离离疏
眆,芳草迷离入眼来
眆,芳草迷离泪两行
脧,云破月来各西东
繟,花草凋零人独立
钜,不要开口闭口总是钱
退,放之于山下
退,八卦山道，无题一首
退,置之于八卦山下
退,跟在后面送出关
退,知过恨别剜寸心
岢,山下河水已断流
岢,山奇不在于大
岢,从来何处觅仙踪
乞,雁阵高飞点点设
乞,气一消，张口就吃。
乞,吃掉一口
乞,上气接下气
乞,一来就生气
乞,汽水卖完一定去
乞,请到舍下来用餐
否,一日失去不回来
否,一知半解要不得
否,开口还要走
否,自小结同心
否,不及格
感,心字上面减两点
感,黄昏方与志士别
鐬,金止戈壁
鐬,金止戈壁烽火尽
钝,秋来村里谷堆金
甭,比上不足，比下有余
甭,二月春来共举杯
甭,佣人一去不归来
杯,不得不露头
杯,二九青春顾影单
杯,不露头不闻悲声
杯,棺前不会放悲声
杯,不在榜首
杯,不出头后不成字
杯,悲声不在楼头放
杯,不肯出头是和靖
杯,不见露头不出来
杯,左边不出头，右边歪歪头。
鴧,几点白鹭筑巢
鴧,几点白鹭筑窝巢
鴧,几只白头鸳鸯卧
鴧,几只白头鸳鸯飞
乱,千古牵连一笔勾
乱,湖中垂钓到白头
乱,一钩残月依旧
乱,改造七古赋新体
乱,湖心岛上垂钓钩
乱,湖中新月状如钩
乱,斜月如钩叶参差
乱,千口难分，一笔勾销
乱,似镰新水印湖心
镏,秋收之后柳屯田
酗,西藏一特区
吹,一夜出名成歌后
吹,先品后饮，大话不停。
吹,欲须画眉待人还
吹,歌喉半衰犹夸口
吹,歌后后台说大话
拗,掉首重山南雾浮
拗,抬头见远山，远山隐半边
篯,一笔一笔扫黄金
篯,一笔一笔人民币
篯,个个来钱
篯,人人有余钱
篯,竹下一钩恰当钱
婴,重赏之下得千金
婴,两个宝贝女
婴,对内改革好带头
婴,对内改革要上去
婴,宝二姑娘
婴,要负责到底
蚁,文中有点改动
蚁,风中点残烛
葭,又见残月映芦苇
咱,此日中流自在行
咱,嘴和眼挨着排，眼睛上边眉毛歪。
咱,百变之后方配合
咱,问心自安
咱,宰羊杀狗除臭味
咱,心又来叹息
咱,东西一度移白日
咱,夏收前后方能回
娴,十八闺女隐闺中
娴,空中小姐识弦音
娴,杨家有女初长成
娴,闺中少女欲思春
娴,有女怀春入空门
娴,闺中少妇盼春回
娴,英雄难过美人关
娴,姑娘无事
娴,没事的姑娘
娴,春光及第值千金
拔,始交莫逆携手归
坳,儿时常随东坡游
坳,幼童活动有场地
椟,十八载来始成交
硄,似玉无瑕，恰如岩面
硄,似玉无瑕
硄,清辉映石头
硄,石头光
硄,似玉无瑕，恰如岩头
假,飘霞天雨雁斜飞
假,真的不是自己人
假,不是真的
脮,月满西楼，妆台初启
脮,西楼少女月西移
脮,月满西楼美人居
账,马市长下午一点走
账,失败之后有长进
账,怅然心伤共沾巾
熨,十分明亮，十分热烈
熨,十分明亮耐高温
献,南面有条狗，好物送你手。
献,南京一狗叫声噪
献,南京一狗叫声喳
献,南京一狗叫
献,南方来一只狗
献,南京一狗
赫,一对红
赫,红了还要红
赫,依稀坟前化彩蝶，对影和声留盛名
赫,转业十载再相逢
赫,俩小二撇下佳人分东西
赫,近朱者赤
